GENE,RNA_ESC_1,RNA_ESC_2,RNA_MES_1,RNA_MES_2,RNA_CP_1,RNA_CP_2,RNA_CM_1,RNA_CM_2
Zc3hav1,4.07400466391617,4.49462288111542,11.5840418278185,9.82072832083843,3.26772346896806,2.0546861719158,2.85215878735866,1.40431325854654
Zc3hav1l,3.9495065798498,3.91702605118854,16.4401806586596,12.7354354565285,16.9739440346955,17.8041495144942,8.60847364988277,10.6523110412554
Zc3hc1,39.5445142151076,38.8850170399449,43.3557781138391,47.2528548765525,35.460050786882,32.9366547423981,24.4697658737237,22.616914016742
Zc4h2,2.52916719615859,2.54733944169707,6.29077295724474,5.96185497142274,7.09334855548165,6.15296183694332,2.13211892084505,3.73534254708473
Zcchc10,18.7864123088843,16.6894205301279,5.17287456705422,6.61951358179732,4.2297715796076,4.63227997599702,3.18288883488317,3.86633023827759
Zcchc12,0.849577640787303,0.809344017529397,11.4057510434005,12.8915024950238,3.7333920605992,4.50132027343121,1.75250669180346,3.33492569501844
Zcchc14,9.4023540556354,10.3214014119368,22.1941282418843,17.3807598660708,19.8006883241504,28.7882655800044,14.9591589291503,14.7200263218077
Zcchc17,15.3872600622068,14.1171950572165,12.8630623339235,13.3992064869657,10.1076732485112,8.33501448595145,6.01934460301301,9.10508166468284
Zcchc18,0.641767092341684,0.692262857499067,1.07493855691638,1.34580196273061,1.22047400291412,2.03919509249539,0.485792887719598,0.704896684160367
Zcchc2,6.21941212399789,6.38078114135162,6.51719614228417,5.6452427510446,4.33403058897685,5.38382993447489,5.50537729336364,4.97864142178994
Zcchc24,2.98719261034694,2.82194103866501,9.76260744065635,8.05109155245595,14.261559113856,15.4369118012592,22.9914313503021,13.1807060650107
Zcchc3,24.2554492842894,25.4315855349542,36.2789849018822,33.0619600296147,39.6553671077698,36.53877394342,19.3262195340303,27.785649391645
Zcchc4,4.2388489922895,4.14297181220874,3.29070496646837,3.13713531694831,2.82447248685161,2.57113380543336,2.08787877861368,2.22423411606662
Zcchc7,11.555183801504,11.3445900102759,5.87155895385491,6.30224746490388,5.74353889086117,5.15151315913971,8.53463602786795,7.45766595110416
Zcchc8,18.1907140139978,18.706532468623,19.0495364273096,18.5095375396614,13.2807466629128,13.4885316686575,11.6632440272702,8.49919151852137
Zcchc9,12.3694018768123,12.7467060202033,10.0018401784727,12.0901891430476,9.93518839697879,8.68746875021,14.2021252418584,15.6287140860991
Zcrb1,17.9509846235405,18.6404639567512,31.5911817171752,27.8133099213745,23.3585014655324,21.1631679319585,15.8901809320452,24.7083873842672
Zcwpw1,5.79954352377183,5.36132742556602,1.95686086643856,1.57793478347047,2.33462076192894,2.56135080091474,2.65403338528887,2.26928674464844
Zdbf2,7.41406198798659,7.582020819915,17.5723959340882,14.8729558951513,14.1511308925989,12.5972908456187,6.37599327645555,7.87267982423982
Zdhhc1,3.23642636891591,3.19602387384007,4.82061255506654,5.16262144076839,6.99021570552172,9.60366494389334,20.4607816626637,15.502477213935
Zdhhc12,33.5557394584938,33.6447155025726,22.2094549715183,22.4814893965395,18.9905241146216,14.2382128578446,32.5670576159134,31.3677006745697
Zdhhc13,13.0118131674629,13.235754666396,8.55056235402729,8.90266956306671,11.2394041578857,7.79728066453499,11.6726823959383,12.4295142245077
Zdhhc14,0.160442441996943,0.161203010875087,0.925723972001242,0.841604948056651,0.836688835735807,0.38386793850622,0.649413338666354,0.543917799819069
Zdhhc15,1.98864785151576,2.23865429540008,3.52102876836853,4.02498410112337,5.85799151319261,5.25742782075802,4.51333886113116,3.82081308870342
Zdhhc16,12.384142639438,12.2128131460738,15.9933237086914,15.664772801187,13.0509659908229,12.2892706093773,11.5248960866471,10.5841076114218
Zdhhc17,4.5054763587598,4.40415589310189,6.60151250171691,7.33067405032281,9.69620809993938,10.7567536553909,14.2136354286226,10.9800746424615
Zdhhc18,22.1626268391589,22.106008015143,12.0749543382618,11.8306474641431,8.87986354625053,8.27223360496073,8.05284705516375,7.8148528392931
Zdhhc2,2.22895366239174,2.09516778754316,6.57034738641748,5.8642724641476,6.36544058976899,6.7638057814597,6.93846882890894,11.166511894485
Zdhhc20,6.44864933401398,6.08317854401994,9.33265602456838,9.51473011233442,9.39308729357494,11.2185388442785,7.6071792527455,8.62537550065254
Zdhhc21,3.19383539677585,3.32994889056378,3.53587685899842,2.92012894265219,3.74748375143155,3.9631061617895,1.8826951090572,3.1800571977956
Zdhhc23,1.59802888435947,1.53186539334203,0.115706210287452,0.291565270760032,0.177782109366783,0.212779280226622,0.72827664940443,0.60828029957507
Zdhhc24,3.29999271352319,3.13597114052082,3.86214262935801,3.71488903034153,3.58084533414363,2.92210234016139,2.26348346728246,3.79389313779464
Zdhhc3,6.53811242060078,6.60097276046244,10.4447260904346,9.51869891377634,6.95803433966494,6.5537789155637,5.76594547525862,6.82119155294131
Zdhhc4,10.9713707592305,11.4700790170229,11.7697998666332,11.3334954868918,10.1774380517959,10.5267126830573,12.027937108263,12.5976546691593
Zdhhc5,18.2232770911686,18.3861745383063,21.3403424303398,18.9610267593599,13.9771694275779,14.499905400906,12.8127912094544,16.7530275849613
Zdhhc6,19.3936970970862,18.1748337252923,27.663292354363,28.1233891501591,16.562489973713,17.0667872544406,9.41510986864269,11.6681388286757
Zdhhc7,7.34023703663572,7.19420055385539,19.118011986867,16.2147613076653,16.1271919669863,16.5585372666617,14.3020608529992,13.8260151273947
Zdhhc8,7.50264111228284,8.00648953922445,12.1301479963774,9.4732709871191,9.59283875235217,11.589784668049,20.9631187024965,19.3955496750382
Zdhhc9,5.59017359882671,6.53881394863437,5.64473744909736,5.17583683232517,6.94429384710182,6.12759331990631,15.4298970977123,18.5046991074637
Zeb1,1.70216704146724,1.77459979717,4.76151013446481,4.32036818259141,13.7272399006613,15.1220682210938,17.7355767398007,16.2241227220083
Zeb2,0.43757808319039,0.500417364558422,5.11952457328345,5.14075373027559,4.57274355145912,4.40088572348335,4.24310131201654,3.80857144946208
Zeb2os,0.0,0.0805691743082062,0.979785151083922,1.39906419790739,0.376358949215457,0.487984058069671,0.292118779775552,0.160963703822573
Zer1,8.32572339684101,8.27016929164227,9.96155181356613,8.30035254558635,13.7875392269438,15.6443504104794,30.0959427209836,21.2827517473311
Zfand1,15.6704878485488,15.0499332183849,9.22886304869677,11.0539548078375,14.4471376077881,16.3929502528949,19.6539021810657,13.326463974983
Zfand2a,6.95924257726518,7.25719185325398,5.13354108256664,4.64223978511931,4.76616320297514,4.33521227872757,6.39716510750516,7.26368147301333
Zfand2b,7.1177034843563,6.91521067479422,9.53244589110277,10.0908368483313,11.7172506729573,12.0867585698349,12.4237309970149,10.3658642644908
