GENE,NCBI GeneID
Aars2,224805
Aarsd1,69684
Aasdh,231326
Aasdhppt,67618
Aass,30956
Aatf,56321
Aatk,11302
Abat,268860
Abca1,11303
Abca2,11305
Abca3,27410
Abca4,11304
Abca5,217265
Abca7,27403
Abca9,217262
Abcb10,56199
Abcb1a,18671
Abcb1b,18669
Abcb5,77706
Abcb6,74104
Abcb7,11306
Abcb8,74610
Abcb9,56325
Abcc1,17250
Abcc10,224814
Abcc3,76408
Abcc4,239273
Abcc5,27416
Abcc8,20927
Abcc9,20928
Abcd1,11666
Abcd2,26874
Abcd3,19299
Abcd4,19300
Abce1,24015
Abcf1,224742
Abcf2,27407
Abcf3,27406
Abcg1,11307
Abcg2,26357
Abcg4,192663
Abhd1,57742
Abhd10,213012
Abhd11,68758
Abhd11os,69812
Abhd12,76192
Abhd13,68904
Abhd14a,68644
Abhd14b,76491
Abhd16a,193742
Abhd17a,216169
Abhd17b,226016
Abhd17c,70178
Abhd18,269423
Abhd2,54608
Abhd3,106861
Abhd4,105501
Abhd5,67469
Abhd8,64296
Abi1,11308
Abi2,329165
Abi3,66610
Abitram,230234
Abl1,11350
Abl2,11352
Ablim1,226251
Ablim2,231148
Ablim3,319713
Abr,109934
Abra,223513
Abracl,73112
Abraxas1,70681
Abraxas2,109359
Abt1,30946
Abtb1,80283
Abtb2,99382
Acaa1a,113868
Acaa1b,235674
Acaa2,52538
Acaca,107476
Acacb,100705
Acad10,71985
Acad11,102632
Acad12,338350
Acad8,66948
Acad9,229211
Acadl,11363
Acadm,11364
Acads,11409
Acadsb,66885
Acadvl,11370
Acan,11595
Acap1,216859
Acap2,78618
Acap3,140500
Acat1,110446
Acat2,110460
Acat3,224530
Acbd3,170760
Acbd4,67131
Acbd5,74159
Acbd6,72482
Acbd7,78245
Accsl,381411
Acd,497652
Ace,11421
Acer1,171168
Acer2,230379
Acer3,66190
Ache,11423
Acin1,56215
Ackr1,13349
Ackr2,59289
Ackr3,12778
Ackr4,252837
Acly,104112
Acmsd,266645
Acnat1,230161
Aco1,11428
Aco2,11429
Acot1,26897
Acot10,64833
Acot11,329910
Acot13,66834
Acot2,171210
Acot4,171282
Acot5,217698
Acot6,217700
Acot7,70025
Acot8,170789
Acot9,56360
Acox1,11430
Acox3,80911
Acoxl,74121
Acp1,11431
Acp2,11432
Acp4,100503991
Acp6,66659
Acr,11434
Acrbp,54137
Acsbg3,78625
Acsf2,264895
Acsf3,257633
Acsl1,14081
Acsl3,74205
Acsl4,50790
Acsl5,433256
Acsl6,216739
Acsm4,233801
Acss1,68738
Acss2,60525
Acta1,11459
Acta2,11475
Actb,11461
Actc1,11464
Actg2,11468
Actl6a,56456
Actn1,109711
Actn2,11472
Actn3,11474
Actn4,60595
Actr10,56444
Actr1a,54130
Actr1b,226977
Actr2,66713
Actr3,74117
Actr3b,242894
Actr5,109275
Actr6,67019
Actr8,56249
Acvr1,11477
Acvr1b,11479
Acvr2a,11480
Acvr2b,11481
Acvrl1,11482
Acy1,109652
Acy3,71670
Acyp1,66204
Acyp2,75572
Ada,11486
Adad2,75773
Adal,75894
Adam10,11487
Adam11,11488
Adam12,11489
Adam15,11490
Adam17,11491
Adam19,11492
Adam1a,280668
Adam22,11496
Adam23,23792
Adam33,110751
Adam8,11501
Adam9,11502
Adamts1,11504
Adamts10,224697
Adamts12,239337
Adamts13,279028
Adamts14,237360
Adamts15,235130
Adamts17,233332
Adamts19,240322
Adamts2,216725
Adamts20,223838
Adamts3,330119
Adamts4,240913
Adamts5,23794
Adamts6,108154
Adamts7,108153
Adamts8,30806
Adamts9,101401
Adamtsl1,77739
Adamtsl2,77794
Adamtsl4,229595
Adamtsl5,66548
Adap1,231821
Adap2,216991
Adar,56417
Adarb1,110532
Adarb2,94191
Adat1,30947
Adat2,66757
Adat3,100113398
Adck1,72113
Adck2,57869
Adcy1,432530
Adcy2,210044
Adcy3,104111
Adcy4,104110
Adcy5,224129
Adcy6,11512
Adcy7,11513
Adcy8,11514
Adcy9,11515
Adcyap1r1,11517
Add1,11518
Add2,11519
Add3,27360
Adgra2,78560
Adgra3,70693
Adgrb1,107831
Adgrb2,230775
Adgrd1,243277
Adgre5,26364
Adgrf5,224792
Adgrg1,14766
Adgrg3,54672
Adgrg5,382045
Adgrg6,215798
Adgrl1,330814
Adgrl2,99633
Adgrl4,170757
Adgrv1,110789
Adh4,26876
Adh5,11532
Adi1,104923
Adipor1,72674
Adipor2,68465
Adk,11534
Adm,11535
Adm2,223780
Adnp,11538
Adnp2,240442
Ado,211488
Adora1,11539
Adora2a,11540
Adora2b,11541
Adpgk,72141
Adprh,11544
Adprhl1,234072
Adprhl2,0
Adprm,66358
Adra1b,11548
Adra1d,11550
Adra2a,11551
Adra2b,11552
Adrb1,11554
Adrb2,11555
Adrb3,11556
Adrm1,56436
Adsl,11564
Adss,0
Adssl1,0
Aebp1,11568
Aebp2,11569
Aen,68048
Afap1,70292
Afap1l1,106877
Afap1l2,226250
Afdn,17356
Aff1,17355
Aff2,14266
Aff3,16764
Aff4,93736
Afg1l,215951
Afg3l1,114896
Afg3l2,69597
Afmid,71562
Aftph,216549
Aga,11593
Agap1,347722
Agap2,216439
Agap3,213990
Agbl2,271813
Agbl3,76223
Agbl5,231093
Ager,11596
Agfg1,15463
Agfg2,231801
Aggf1,66549
Agk,69923
Agl,77559
Ago1,236511
Ago2,239528
Ago3,214150
Ago4,76850
Agpat1,55979
Agpat2,67512
Agpat3,28169
Agpat4,68262
Agpat5,52123
Agps,228061
Agrn,11603
Agrp,11604
Agtpbp1,67269
Agtr1a,11607
Agtrap,11610
Ahctf1,226747
Ahcy,269378
Ahcyl1,229709
Ahcyl2,74340
Ahdc1,230793
Ahi1,52906
Ahnak,66395
Ahr,11622
Ahsa1,217737
Ahsa2,268390
Ahsg,11625
Aif1l,108897
Aifm1,26926
Aifm2,71361
Aifm3,72168
Aig1,66253
Aim2,383619
Aimp1,13722
Aimp2,231872
Aip,11632
Aipl1,114230
Aire,11634
Airn,104103
Ajap1,230959
Ajuba,16475
Ak1,11636
Ak2,11637
Ak3,56248
Ak4,11639
Ak5,229949
Ak6,102216272
Ak7,78801
Ak8,68870
Akap1,11640
Akap10,56697
Akap11,219181
Akap12,83397
Akap13,75547
Akap17b,338351
Akap5,238276
Akap6,238161
Akap7,432442
Akap8,56399
Akap8l,54194
Akap9,100986
Akip1,57373
Akirin1,68050
Akirin2,433693
Akna,100182
Akr1a1,58810
Akr1b10,67861
Akr1b8,14187
Akr1c13,27384
Akr1c19,432720
Akr1e1,56043
